"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"	"Laminar_Viscosity"	"Skin_Friction_Coefficient"	"Heat_Flux"	"Y_Plus"
10	6.036884450620806e-03	1.337539777438219e-02	1.088465825998262e-04	0.000000000000000e+00	0.000000000000000e+00	2.355427604644236e+01	9.421710418576945e+00	3.015402557647060e+02	4.751206946442518e-01	0.000000000000000e+00	0.000000000000000e+00	3.216292501811594e-01	-4.038819102424229e-03	5.564998235071711e-02	
11	9.456200888756056e-03	1.658322276403875e-02	1.056992334095790e-04	0.000000000000000e+00	0.000000000000000e+00	2.283569010735686e+01	9.134276042942741e+00	3.010458466105889e+02	2.862963636406852e-01	0.000000000000000e+00	0.000000000000000e+00	3.086964028409204e-01	-4.610997807347771e-03	5.304915419386923e-02	
12	1.411885488706022e-02	2.005675514371542e-02	1.028389884180843e-04	0.000000000000000e+00	0.000000000000000e+00	2.218385058097174e+01	8.873540232388692e+00	3.005865002972255e+02	1.150111271831068e-01	0.000000000000000e+00	0.000000000000000e+00	2.844813111645595e-01	-4.775632511826898e-03	4.972226984472946e-02	
13	2.028844439353775e-02	2.375298373685266e-02	1.003662414107962e-04	0.000000000000000e+00	0.000000000000000e+00	2.162150820904008e+01	8.648603283616032e+00	3.001847744963118e+02	-3.275675470738072e-02	0.000000000000000e+00	0.000000000000000e+00	2.532031457931437e-01	-4.605842231706574e-03	4.597843507876678e-02	
14	2.825716153325324e-02	2.764329463885544e-02	9.833301969597700e-05	0.000000000000000e+00	0.000000000000000e+00	2.116029317189546e+01	8.464117268758182e+00	2.998559293841711e+02	-1.539511952059660e-01	0.000000000000000e+00	0.000000000000000e+00	2.208127718035218e-01	-4.245293917471565e-03	4.223129752331560e-02	
15	3.836750218103443e-02	3.169103502728139e-02	9.671264678346472e-05	0.000000000000000e+00	0.000000000000000e+00	2.079365651693656e+01	8.317462606774622e+00	2.995973263676952e+02	-2.502930762927337e-01	0.000000000000000e+00	0.000000000000000e+00	1.899938190485599e-01	-3.802251988132342e-03	3.865176683729463e-02	
16	5.101105284636358e-02	3.585086180125308e-02	9.546221262191644e-05	0.000000000000000e+00	0.000000000000000e+00	2.051144954695878e+01	8.204579818783511e+00	2.994023422320938e+02	-3.244491923703913e-01	0.000000000000000e+00	0.000000000000000e+00	1.621711573056586e-01	-3.340449841954231e-03	3.533109726487394e-02	
17	6.662653667717137e-02	4.005717250725216e-02	9.453447537058683e-05	0.000000000000000e+00	0.000000000000000e+00	2.030258119989804e+01	8.121032479959213e+00	2.992618624095295e+02	-3.793339650278655e-01	0.000000000000000e+00	0.000000000000000e+00	1.376217132655223e-01	-2.888411959358971e-03	3.227988993465899e-02	
18	8.568586870662181e-02	4.422247393537012e-02	9.388569194326432e-05	0.000000000000000e+00	0.000000000000000e+00	2.015690187335012e+01	8.062760749340047e+00	2.991677029234853e+02	-4.176144265290570e-01	0.000000000000000e+00	0.000000000000000e+00	1.163426671017917e-01	-2.462932484993614e-03	2.949632078131430e-02	
19	1.086724998818798e-01	4.822800051961691e-02	9.347745982166191e-05	0.000000000000000e+00	0.000000000000000e+00	2.006554016927409e+01	8.026216067709637e+00	2.991123121188747e+02	-4.416217327024226e-01	0.000000000000000e+00	0.000000000000000e+00	9.798245179534931e-02	-2.067632083901200e-03	2.694970391543323e-02	
20	1.360446480181137e-01	5.192473744706427e-02	9.327770838852149e-05	0.000000000000000e+00	0.000000000000000e+00	2.002114845543057e+01	8.008459382172227e+00	2.990896982419244e+02	-4.532866362479511e-01	0.000000000000000e+00	0.000000000000000e+00	8.218494550454913e-02	-1.704053155475142e-03	2.461053139582121e-02	
21	1.681853680736459e-01	5.513655961842473e-02	9.325777836022141e-05	0.000000000000000e+00	0.000000000000000e+00	2.001719390016070e+01	8.006877560064279e+00	2.990945279138465e+02	-4.543257830119415e-01	0.000000000000000e+00	0.000000000000000e+00	6.860011677234271e-02	-1.373514731313946e-03	2.244934613334221e-02	
